2	16	25	25	19	28	28	32	30	34	33	35	35	35	37	38	29	30	34	32	37	37	37	36	36	39	36	39	40	40	29	34	37	37	34	37	31	38	37	30	30	8	16	30	24	33	38	19	33	30	35	32	37	37	34	24	30	27	35	24	30	34	37	34	37	27	34	29	37	19	26	26	8	22	13	28	31	34	8	31	32	36	37	34	34	36	26	26	33	30	34	21	30	26	20	29	31	2	2	2	
2	16	25	33	35	37	37	37	39	35	37	39	39	37	38	40	39	39	39	41	41	38	39	40	41	41	39	38	39	39	38	39	37	39	34	30	35	38	34	38	40	38	39	40	38	24	33	35	26	34	36	39	36	39	40	41	38	40	36	38	39	40	39	34	39	37	39	34	37	22	30	32	29	30	33	35	33	35	35	31	31	33	33	35	34	34	35	35	35	33	34	33	35	33	35	27	27	33	33	35	
2	16	25	35	35	35	37	37	39	39	37	35	37	39	40	38	39	40	39	34	39	40	40	39	39	40	40	41	40	41	38	39	40	40	41	33	39	38	37	38	38	40	35	31	37	32	36	32	37	38	38	40	40	40	40	38	40	35	39	39	39	37	33	33	35	35	36	35	35	35	35	33	29	25	32	29	34	35	34	34	35	35	34	32	34	35	35	35	35	35	35	34	29	29	31	34	34	35	31	35	
2	16	25	33	33	35	25	35	19	32	34	19	30	34	36	27	36	30	27	25	18	34	27	18	27	10	32	30	37	27	24	34	36	31	36	36	27	30	33	31	35	34	33	27	30	15	30	30	15	24	30	35	35	35	29	35	33	31	35	35	29	36	28	28	33	28	34	35	23	13	28	8	8	28	32	32	34	32	35	36	32	35	35	26	32	30	25	30	29	33	32	26	18	30	8	30	26	32	32	21	
2	16	28	35	35	37	37	37	39	39	38	37	39	40	40	38	40	41	41	41	41	38	40	40	40	38	38	40	40	41	41	41	41	40	40	36	39	33	38	38	40	41	41	41	40	40	40	35	35	37	38	40	40	41	41	41	41	38	41	41	41	41	41	36	39	38	37	38	37	37	37	37	37	36	35	35	35	35	35	35	35	35	35	35	34	34	29	34	34	34	34	33	35	35	33	35	34	34	35	34	
34	34	34	37	37	37	35	37	39	39	39	39	39	40	41	40	41	41	40	41	41	41	41	41	41	41	41	40	38	38	40	41	41	41	40	33	40	39	39	40	41	38	38	38	39	40	40	41	41	41	41	36	38	38	39	38	38	40	39	40	40	40	41	38	38	35	39	39	39	39	38	38	37	37	37	37	35	35	35	35	35	33	35	35	34	33	35	35	33	35	35	35	35	34	35	35	34	34	34	34	
2	16	25	16	33	30	35	35	34	32	34	11	32	36	36	40	40	40	36	37	35	36	36	40	27	36	36	37	31	36	35	37	40	36	21	35	35	40	30	35	32	35	36	36	32	35	40	40	40	40	40	40	35	40	36	40	40	40	35	35	36	36	40	36	40	36	34	36	32	28	34	35	32	35	35	35	35	35	22	30	31	31	31	31	25	11	26	30	30	30	30	30	29	26	29	27	32	32	29	29	
2	16	28	35	28	35	35	35	39	39	39	39	39	40	40	40	38	40	40	40	40	39	40	40	40	40	40	40	40	40	40	40	37	39	40	38	40	40	40	40	38	38	40	40	40	40	39	40	37	39	36	36	34	33	33	33	33	33	33	27	27	33	33	33	33	33	33	33	33	27	33	34	34	34	34	34	34	18	32	34	34	34	34	34	34	34	34	25	30	33	33	33	33	33	33	24	31	33	33	33	
31	31	34	37	37	37	37	37	39	39	37	39	38	35	39	40	41	40	40	40	40	40	40	36	39	39	40	41	40	41	38	36	39	40	40	40	38	40	41	41	40	41	40	36	39	40	40	40	40	41	41	41	40	35	32	37	39	40	38	39	39	39	37	38	36	40	39	38	38	37	38	37	39	36	36	35	37	37	37	37	37	37	36	36	32	34	29	34	36	35	35	35	35	35	35	35	31	34	34	32	
34	34	34	37	37	37	37	37	39	39	39	39	39	41	41	41	41	41	41	41	37	39	40	41	41	41	41	41	41	34	38	39	41	41	41	35	35	35	35	35	35	35	35	35	35	34	35	35	35	35	35	35	35	35	35	35	35	35	35	35	30	34	34	34	26	33	35	35	33	29	35	35	35	33	33	33	35	33	35	35	35	35	35	35	29	34	35	35	34	24	32	35	33	31	20	29	29	35	35	35	
2	16	28	35	35	37	37	37	39	39	39	39	39	41	40	41	40	41	41	38	40	41	41	41	41	41	40	40	40	41	40	41	41	40	40	41	41	41	37	40	40	40	41	41	40	41	40	38	40	40	41	41	41	41	41	41	40	40	38	38	38	40	41	40	41	41	41	41	39	39	39	33	36	35	37	35	35	35	35	35	35	34	35	35	35	35	35	34	35	35	34	35	35	35	34	35	35	35	35	34	
31	34	33	37	37	37	37	37	39	39	39	38	39	41	41	41	41	41	41	41	41	41	41	41	41	41	41	40	41	41	41	41	41	41	41	41	39	40	40	41	41	41	41	41	41	41	41	41	41	40	41	41	41	41	41	41	41	39	41	41	41	41	41	41	41	41	41	41	41	41	41	41	40	41	41	41	39	40	41	40	40	38	39	39	39	34	39	38	37	37	37	37	37	37	36	36	32	34	34	36	
